Camp Name,Date Range,Days,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Dolphin,Starts 5/11/2026,Friday,8:30 AM,Dolphin (Intermediate),8:30 AM – 9:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,8:30 AM,Guppy (Beginner),8:30 AM – 9:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,9:00 AM,Dolphin (Intermediate),9:00 AM – 9:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,9:00 AM,Guppy (Beginner),9:00 AM – 9:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,1,1,0,1:1
Private 30-min,,Friday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,9:30 AM,Dolphin (Intermediate),9:30 AM – 10:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,9:30 AM,Guppy (Beginner),9:30 AM – 10:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,10:00 AM,Dolphin (Intermediate),10:00 AM – 10:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,10:00 AM,Guppy (Beginner),10:00 AM – 10:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Friday,10:30 AM,Dolphin (Intermediate),10:30 AM – 11:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,10:30 AM,Guppy (Beginner),10:30 AM – 11:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,3:00 PM,Private 15-min,3:00 PM – 3:15 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,3:15 PM,Private 15-min,3:15 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,1,1,0,1:1
Private 30-min,,Friday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Private 30-min,Starts 5/11/2026,Friday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,1,1,0,1:1
Clownfish,,Friday,4:00 PM,Clownfish (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Friday,4:00 PM,Dolphin (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Guppy,,Friday,4:00 PM,Guppy (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Tiger,,Friday,4:00 PM,Tiger (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Private 15-min,,Friday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,,Friday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 30-min,,Friday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
Private 30-min,,Friday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Private 15-min,,Friday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Private 15-min,,Friday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Dolphin,,Friday,4:30 PM,Dolphin (Intermediate),4:30 PM – 5:00 PM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,4:30 PM,Guppy (Beginner),4:30 PM – 5:00 PM,1,3,2,3:1
Marlin,,Friday,4:30 PM,Marlin (Intermediate),4:30 PM – 5:00 PM,3,4,1,4:1
Swordfish,,Friday,4:30 PM,Swordfish (Advanced),4:30 PM – 5:00 PM,3,4,1,4:1
Private 15-min,Starts 5/11/2026,Friday,4:30 PM,Private 15-min,4:30 PM – 4:45 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,4:45 PM,Private 15-min,4:45 PM – 5:00 PM,1,1,0,1:1
Clownfish,,Friday,5:00 PM,Clownfish (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Friday,5:00 PM,Dolphin (Intermediate),5:00 PM – 5:30 PM,4,4,0,4:1
Guppy,,Friday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,2,3,1,3:1
Guppy,Starts 5/11/2026,Friday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Tiger,,Friday,5:00 PM,Tiger (Intermediate),5:00 PM – 5:30 PM,3,4,1,4:1
Private 15-min,,Friday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 30-min,,Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 30-min,,Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 15-min,,Friday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,1,1,0,1:1
Private 15-min,,Friday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
Dolphin,Starts 5/26/2026,Friday,5:30 PM,Dolphin (Intermediate),5:30 PM – 6:00 PM,3,4,1,4:1
Guppy,Starts 5/26/2026,Friday,5:30 PM,Guppy (Beginner),5:30 PM – 6:00 PM,2,3,1,3:1
Private 15-min,Starts 5/11/2026,Friday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 15-min,,Friday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 15-min,,Friday,5:30 PM,Private 15-min,5:30 PM – 5:45 PM,0,1,1,1:1
Private 30-min,,Friday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Private 30-min,Starts 5/26/2026,Friday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,5:45 PM,Private 15-min,5:45 PM – 6:00 PM,1,1,0,1:1
Private 15-min,,Friday,5:45 PM,Private 15-min,5:45 PM – 6:00 PM,1,1,0,1:1
Clownfish,,Friday,6:00 PM,Clownfish (Beginner),6:00 PM – 6:30 PM,3,3,0,3:1
Dolphin,,Friday,6:00 PM,Dolphin (Intermediate),6:00 PM – 6:30 PM,3,4,1,4:1
Dolphin,Starts 5/11/2026,Friday,6:00 PM,Dolphin (Intermediate),6:00 PM – 6:30 PM,4,4,0,4:1
Guppy,,Friday,6:00 PM,Guppy (Beginner),6:00 PM – 6:30 PM,3,3,0,3:1
Guppy,Starts 5/11/2026,Friday,6:00 PM,Guppy (Beginner),6:00 PM – 6:30 PM,1,3,2,3:1
Tiger,,Friday,6:00 PM,Tiger (Intermediate),6:00 PM – 6:30 PM,4,4,0,4:1
Private 15-min,,Friday,6:00 PM,Private 15-min,6:00 PM – 6:15 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,6:00 PM,Private 15-min,6:00 PM – 6:15 PM,1,1,0,1:1
Private 30-min,,Friday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Private 30-min,Starts 5/11/2026,Friday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,1,1,0,1:1
Private 30-min,,Friday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Private 15-min,,Friday,6:15 PM,Private 15-min,6:15 PM – 6:30 PM,1,1,0,1:1
Private 15-min,,Friday,6:15 PM,Private 15-min,6:15 PM – 6:30 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,6:15 PM,Private 15-min,6:15 PM – 6:30 PM,1,1,0,1:1
Dolphin,,Friday,6:30 PM,Dolphin (Intermediate),6:30 PM – 7:00 PM,4,4,0,4:1
Guppy,Starts 5/11/2026,Friday,6:30 PM,Guppy (Beginner),6:30 PM – 7:00 PM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Friday,6:30 PM,Private 15-min,6:30 PM – 6:45 PM,1,1,0,1:1
Private 30-min,,Friday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Friday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Friday,6:45 PM,Private 15-min,6:45 PM – 7:00 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Friday,7:00 PM,Private 15-min,7:00 PM – 7:15 PM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,8:30 AM,Dolphin (Intermediate),8:30 AM – 9:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,8:30 AM,Guppy (Beginner),8:30 AM – 9:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,8:30 AM,Private 15-min,8:30 AM – 8:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,8:45 AM,Private 15-min,8:45 AM – 9:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,9:00 AM,Dolphin (Intermediate),9:00 AM – 9:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,9:00 AM,Guppy (Beginner),9:00 AM – 9:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,9:00 AM,Private 15-min,9:00 AM – 9:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,1,1,0,1:1
Private 30-min,,Monday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,9:15 AM,Private 15-min,9:15 AM – 9:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,9:30 AM,Dolphin (Intermediate),9:30 AM – 10:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,9:30 AM,Guppy (Beginner),9:30 AM – 10:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,9:30 AM,Private 15-min,9:30 AM – 9:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,9:45 AM,Private 15-min,9:45 AM – 10:00 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,10:00 AM,Dolphin (Intermediate),10:00 AM – 10:30 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,10:00 AM,Guppy (Beginner),10:00 AM – 10:30 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,10:00 AM,Private 15-min,10:00 AM – 10:15 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,10:15 AM,Private 15-min,10:15 AM – 10:30 AM,1,1,0,1:1
Dolphin,Starts 5/11/2026,Monday,10:30 AM,Dolphin (Intermediate),10:30 AM – 11:00 AM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,10:30 AM,Guppy (Beginner),10:30 AM – 11:00 AM,3,3,0,3:1
Private 15-min,Starts 5/11/2026,Monday,10:30 AM,Private 15-min,10:30 AM – 10:45 AM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,10:45 AM,Private 15-min,10:45 AM – 11:00 AM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:00 PM,Private 15-min,3:00 PM – 3:15 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:15 PM,Private 15-min,3:15 PM – 3:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:30 PM,Private 15-min,3:30 PM – 3:45 PM,1,1,0,1:1
Private 30-min,,Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Private 30-min,Starts 5/11/2026,Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,3:45 PM,Private 15-min,3:45 PM – 4:00 PM,1,1,0,1:1
Clownfish,,Monday,4:00 PM,Clownfish (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Monday,4:00 PM,Dolphin (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Guppy,,Monday,4:00 PM,Guppy (Beginner),4:00 PM – 4:30 PM,3,3,0,3:1
Tiger,,Monday,4:00 PM,Tiger (Intermediate),4:00 PM – 4:30 PM,4,4,0,4:1
Private 15-min,,Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 15-min,,Monday,4:00 PM,Private 15-min,4:00 PM – 4:15 PM,1,1,0,1:1
Private 30-min,,Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,1,1,0,1:1
Private 30-min,,Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Private 15-min,,Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Private 15-min,,Monday,4:15 PM,Private 15-min,4:15 PM – 4:30 PM,1,1,0,1:1
Dolphin,,Monday,4:30 PM,Dolphin (Intermediate),4:30 PM – 5:00 PM,4,4,0,4:1
Guppy,Starts 5/11/2026,Monday,4:30 PM,Guppy (Beginner),4:30 PM – 5:00 PM,1,3,2,3:1
Marlin,,Monday,4:30 PM,Marlin (Intermediate),4:30 PM – 5:00 PM,3,4,1,4:1
Swordfish,,Monday,4:30 PM,Swordfish (Advanced),4:30 PM – 5:00 PM,3,4,1,4:1
Private 15-min,Starts 5/11/2026,Monday,4:30 PM,Private 15-min,4:30 PM – 4:45 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,1,1,0,1:1
Private 15-min,Starts 5/11/2026,Monday,4:45 PM,Private 15-min,4:45 PM – 5:00 PM,1,1,0,1:1
Clownfish,,Monday,5:00 PM,Clownfish (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Dolphin,Starts 5/11/2026,Monday,5:00 PM,Dolphin (Intermediate),5:00 PM – 5:30 PM,4,4,0,4:1
Guppy,,Monday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,2,3,1,3:1
Guppy,Starts 5/11/2026,Monday,5:00 PM,Guppy (Beginner),5:00 PM – 5:30 PM,3,3,0,3:1
Tiger,,Monday,5:00 PM,Tiger (Intermediate),5:00 PM – 5:30 PM,3,4,1,4:1
Private 15-min,,Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 15-min,Starts 5/11/2026,Monday,5:00 PM,Private 15-min,5:00 PM – 5:15 PM,0,1,1,1:1
Private 30-min,,Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 30-min,,Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,1,1,0,1:1
Private 30-min,Starts 5/11/2026,Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Private 15-min,,Monday,5:15 PM,Private 15-min,5:15 PM – 5:30 PM,0,1,1,1:1
