Day,Time,Class Level,Time Range,Spots Left,Total Capacity,Enrolled,Student:Teacher Ratio
Friday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Friday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Friday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Friday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Friday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Friday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Friday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Friday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Friday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Friday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Friday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Friday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Friday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Friday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Friday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Friday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Friday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,1,1,0,1:1
Friday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,0,1,1,1:1
Friday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Friday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Friday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Friday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Friday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Friday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Friday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Friday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Friday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Friday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Friday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Friday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Friday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Friday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Friday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Friday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Friday,5:45 PM,Private 30-min,5:45 PM – 6:15 PM,0,1,1,1:1
Friday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Friday,6:15 PM,Private 30-min,6:15 PM – 6:45 PM,0,1,1,1:1
Friday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,1,1,0,1:1
Friday,6:45 PM,Private 30-min,6:45 PM – 7:15 PM,0,1,1,1:1
Monday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Monday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Monday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Monday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Monday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Monday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Monday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Monday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Monday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Monday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,1,1,0,1:1
Monday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Monday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Monday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Monday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Monday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Monday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Monday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Monday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,0,1,1,1:1
Monday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,1,1,0,1:1
Monday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,1,1,0,1:1
Monday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Monday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Monday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Monday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Monday,2:45 PM,Private 30-min (KN Hold),2:45 PM – 3:15 PM,0,1,1,1:1
Monday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Monday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Monday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Monday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Monday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Monday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Monday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Monday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Monday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Monday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Monday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Monday,5:45 PM,Private 30-min,5:45 PM – 6:15 PM,0,1,1,1:1
Monday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Monday,6:15 PM,Private 30-min,6:15 PM – 6:45 PM,0,1,1,1:1
Monday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Monday,6:45 PM,Private 30-min,6:45 PM – 7:15 PM,1,1,0,1:1
Monday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Saturday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Saturday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Saturday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Saturday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Saturday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Saturday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Saturday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Saturday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Saturday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Saturday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Saturday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Saturday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Saturday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Saturday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Saturday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Saturday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Saturday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Saturday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,1,1,0,1:1
Saturday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,0,1,1,1:1
Saturday,12:45 PM,Private 30-min,12:45 PM – 1:15 PM,0,1,1,1:1
Saturday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Saturday,1:15 PM,Private 30-min,1:15 PM – 1:45 PM,0,1,1,1:1
Saturday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Saturday,1:45 PM,Private 30-min,1:45 PM – 2:15 PM,0,1,1,1:1
Saturday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Saturday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Saturday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Saturday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Saturday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,1,1,0,1:1
Saturday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Saturday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Saturday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Saturday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Saturday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Saturday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Saturday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Saturday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Saturday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,1,1,0,1:1
Saturday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Sunday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Sunday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Sunday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Sunday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Sunday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Sunday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Sunday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Sunday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Sunday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Sunday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Sunday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Sunday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Sunday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Sunday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Sunday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Sunday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Sunday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Sunday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,0,1,1,1:1
Sunday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,0,1,1,1:1
Sunday,12:45 PM,Private 30-min,12:45 PM – 1:15 PM,0,1,1,1:1
Sunday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Sunday,1:15 PM,Private 30-min,1:15 PM – 1:45 PM,0,1,1,1:1
Sunday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Sunday,1:45 PM,Private 30-min,1:45 PM – 2:15 PM,0,1,1,1:1
Sunday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Sunday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Sunday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Sunday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Sunday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Sunday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Sunday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Sunday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Sunday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Sunday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Sunday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Sunday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Sunday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Sunday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Sunday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Thursday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Thursday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Thursday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,1,1,0,1:1
Thursday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Thursday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Thursday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Thursday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Thursday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Thursday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Thursday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Thursday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,1,1,0,1:1
Thursday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Thursday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Thursday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Thursday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Thursday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Thursday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,1,1,0,1:1
Thursday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,0,1,1,1:1
Thursday,12:45 PM,Private 30-min,12:45 PM – 1:15 PM,0,1,1,1:1
Thursday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Thursday,1:45 PM,Private 30-min,1:45 PM – 2:15 PM,0,1,1,1:1
Thursday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Thursday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Thursday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Thursday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Thursday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Thursday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Thursday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Thursday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Thursday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Thursday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Thursday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Thursday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Thursday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Thursday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Thursday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Thursday,5:45 PM,Private 30-min,5:45 PM – 6:15 PM,1,1,0,1:1
Thursday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Thursday,6:15 PM,Private 30-min,6:15 PM – 6:45 PM,0,1,1,1:1
Thursday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Thursday,6:45 PM,Private 30-min,6:45 PM – 7:15 PM,0,1,1,1:1
Thursday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Tuesday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Tuesday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Tuesday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Tuesday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Tuesday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Tuesday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Tuesday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Tuesday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Tuesday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Tuesday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Tuesday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Tuesday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Tuesday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Tuesday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Tuesday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Tuesday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Tuesday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Tuesday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,0,1,1,1:1
Tuesday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,1,1,0,1:1
Tuesday,12:45 PM,Private 30-min,12:45 PM – 1:15 PM,0,1,1,1:1
Tuesday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,0,1,1,1:1
Tuesday,1:15 PM,Private 30-min,1:15 PM – 1:45 PM,0,1,1,1:1
Tuesday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Tuesday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Tuesday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Tuesday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Tuesday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Tuesday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Tuesday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Tuesday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Tuesday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Tuesday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Tuesday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Tuesday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Tuesday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Tuesday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Tuesday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Tuesday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Tuesday,5:45 PM,Private 30-min,5:45 PM – 6:15 PM,0,1,1,1:1
Tuesday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Tuesday,6:15 PM,Private 30-min,6:15 PM – 6:45 PM,0,1,1,1:1
Tuesday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Tuesday,6:45 PM,Private 30-min,6:45 PM – 7:15 PM,0,1,1,1:1
Tuesday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
Wednesday,8:00 AM,Private 30-min,8:00 AM – 8:30 AM,0,1,1,1:1
Wednesday,8:15 AM,Private 30-min,8:15 AM – 8:45 AM,0,1,1,1:1
Wednesday,8:30 AM,Private 30-min,8:30 AM – 9:00 AM,0,1,1,1:1
Wednesday,8:45 AM,Private 30-min,8:45 AM – 9:15 AM,0,1,1,1:1
Wednesday,9:00 AM,Private 30-min,9:00 AM – 9:30 AM,0,1,1,1:1
Wednesday,9:15 AM,Private 30-min,9:15 AM – 9:45 AM,0,1,1,1:1
Wednesday,9:30 AM,Private 30-min,9:30 AM – 10:00 AM,0,1,1,1:1
Wednesday,9:45 AM,Private 30-min,9:45 AM – 10:15 AM,0,1,1,1:1
Wednesday,10:00 AM,Private 30-min,10:00 AM – 10:30 AM,0,1,1,1:1
Wednesday,10:15 AM,Private 30-min,10:15 AM – 10:45 AM,0,1,1,1:1
Wednesday,10:30 AM,Private 30-min,10:30 AM – 11:00 AM,0,1,1,1:1
Wednesday,10:45 AM,Private 30-min,10:45 AM – 11:15 AM,0,1,1,1:1
Wednesday,11:00 AM,Private 30-min,11:00 AM – 11:30 AM,0,1,1,1:1
Wednesday,11:15 AM,Private 30-min,11:15 AM – 11:45 AM,0,1,1,1:1
Wednesday,11:30 AM,Private 30-min,11:30 AM – 12:00 PM,0,1,1,1:1
Wednesday,11:45 AM,Private 30-min,11:45 AM – 12:15 PM,0,1,1,1:1
Wednesday,12:00 PM,Private 30-min,12:00 PM – 12:30 PM,0,1,1,1:1
Wednesday,12:15 PM,Private 30-min,12:15 PM – 12:45 PM,0,1,1,1:1
Wednesday,12:30 PM,Private 30-min,12:30 PM – 1:00 PM,0,1,1,1:1
Wednesday,12:45 PM,Private 30-min,12:45 PM – 1:15 PM,0,1,1,1:1
Wednesday,1:00 PM,Private 30-min,1:00 PM – 1:30 PM,1,1,0,1:1
Wednesday,1:30 PM,Private 30-min,1:30 PM – 2:00 PM,0,1,1,1:1
Wednesday,2:00 PM,Private 30-min,2:00 PM – 2:30 PM,0,1,1,1:1
Wednesday,2:15 PM,Private 30-min,2:15 PM – 2:45 PM,0,1,1,1:1
Wednesday,2:30 PM,Private 30-min,2:30 PM – 3:00 PM,0,1,1,1:1
Wednesday,2:45 PM,Private 30-min,2:45 PM – 3:15 PM,0,1,1,1:1
Wednesday,3:00 PM,Private 30-min,3:00 PM – 3:30 PM,0,1,1,1:1
Wednesday,3:15 PM,Private 30-min,3:15 PM – 3:45 PM,0,1,1,1:1
Wednesday,3:30 PM,Private 30-min,3:30 PM – 4:00 PM,0,1,1,1:1
Wednesday,3:45 PM,Private 30-min,3:45 PM – 4:15 PM,0,1,1,1:1
Wednesday,4:00 PM,Private 30-min,4:00 PM – 4:30 PM,0,1,1,1:1
Wednesday,4:15 PM,Private 30-min,4:15 PM – 4:45 PM,0,1,1,1:1
Wednesday,4:30 PM,Private 30-min,4:30 PM – 5:00 PM,0,1,1,1:1
Wednesday,4:45 PM,Private 30-min,4:45 PM – 5:15 PM,0,1,1,1:1
Wednesday,5:00 PM,Private 30-min,5:00 PM – 5:30 PM,0,1,1,1:1
Wednesday,5:15 PM,Private 30-min,5:15 PM – 5:45 PM,0,1,1,1:1
Wednesday,5:30 PM,Private 30-min,5:30 PM – 6:00 PM,0,1,1,1:1
Wednesday,5:45 PM,Private 30-min,5:45 PM – 6:15 PM,0,1,1,1:1
Wednesday,6:00 PM,Private 30-min,6:00 PM – 6:30 PM,0,1,1,1:1
Wednesday,6:15 PM,Private 30-min,6:15 PM – 6:45 PM,0,1,1,1:1
Wednesday,6:30 PM,Private 30-min,6:30 PM – 7:00 PM,0,1,1,1:1
Wednesday,6:45 PM,Private 30-min,6:45 PM – 7:15 PM,0,1,1,1:1
Wednesday,7:00 PM,Private 30-min,7:00 PM – 7:30 PM,0,1,1,1:1
